t0,date,P
19-7-2021 00:00,19-7-2021 04:00,0
19-7-2021 00:00,19-7-2021 07:00,0
19-7-2021 00:00,19-7-2021 10:00,0
19-7-2021 00:00,19-7-2021 13:00,0
19-7-2021 00:00,19-7-2021 16:00,0
19-7-2021 00:00,19-7-2021 19:00,0
19-7-2021 00:00,19-7-2021 22:00,0
19-7-2021 00:00,20-7-2021 01:00,0
19-7-2021 00:00,20-7-2021 04:00,0
19-7-2021 00:00,20-7-2021 07:00,0
19-7-2021 00:00,20-7-2021 10:00,0
19-7-2021 00:00,20-7-2021 13:00,0
19-7-2021 00:00,20-7-2021 16:00,0
19-7-2021 00:00,20-7-2021 19:00,0
19-7-2021 00:00,20-7-2021 22:00,0
19-7-2021 00:00,21-7-2021 01:00,0
19-7-2021 00:00,21-7-2021 04:00,0
19-7-2021 00:00,21-7-2021 07:00,0
19-7-2021 00:00,21-7-2021 10:00,0
19-7-2021 00:00,21-7-2021 13:00,0
19-7-2021 00:00,21-7-2021 16:00,0
19-7-2021 00:00,21-7-2021 19:00,0
19-7-2021 00:00,21-7-2021 22:00,0
19-7-2021 00:00,22-7-2021 01:00,0
19-7-2021 00:00,22-7-2021 04:00,0
19-7-2021 00:00,22-7-2021 07:00,0
19-7-2021 00:00,22-7-2021 10:00,0
19-7-2021 00:00,22-7-2021 13:00,0.003
19-7-2021 00:00,22-7-2021 16:00,0.072
19-7-2021 00:00,22-7-2021 19:00,0.012
19-7-2021 00:00,22-7-2021 22:00,0.001
19-7-2021 00:00,23-7-2021 01:00,0
19-7-2021 00:00,23-7-2021 04:00,0
19-7-2021 00:00,23-7-2021 07:00,0
19-7-2021 00:00,23-7-2021 10:00,0
19-7-2021 00:00,23-7-2021 13:00,0.011
19-7-2021 00:00,23-7-2021 16:00,0.002
19-7-2021 00:00,23-7-2021 19:00,0
19-7-2021 00:00,23-7-2021 22:00,0
19-7-2021 00:00,24-7-2021 01:00,0
19-7-2021 00:00,24-7-2021 04:00,0
19-7-2021 00:00,24-7-2021 07:00,0.03
19-7-2021 00:00,24-7-2021 10:00,0.645
19-7-2021 00:00,24-7-2021 13:00,1.074
19-7-2021 00:00,24-7-2021 16:00,0.424
19-7-2021 00:00,24-7-2021 19:00,0.606
19-7-2021 00:00,24-7-2021 22:00,0.526
19-7-2021 00:00,25-7-2021 01:00,0.021
19-7-2021 00:00,25-7-2021 04:00,0.014
19-7-2021 00:00,25-7-2021 07:00,0.014
19-7-2021 00:00,25-7-2021 10:00,2.242
19-7-2021 00:00,25-7-2021 13:00,2.242
19-7-2021 00:00,25-7-2021 16:00,2.708
19-7-2021 00:00,25-7-2021 19:00,2.708
19-7-2021 00:00,25-7-2021 22:00,0.025
19-7-2021 00:00,26-7-2021 01:00,0.025
19-7-2021 00:00,26-7-2021 04:00,0
19-7-2021 00:00,26-7-2021 07:00,0
19-7-2021 00:00,26-7-2021 10:00,0.735
19-7-2021 00:00,26-7-2021 13:00,0.735
19-7-2021 00:00,26-7-2021 16:00,3.623
19-7-2021 00:00,26-7-2021 19:00,3.623
19-7-2021 00:00,26-7-2021 22:00,0.142
19-7-2021 00:00,27-7-2021 01:00,0.141
19-7-2021 00:00,27-7-2021 04:00,0.147
19-7-2021 00:00,27-7-2021 07:00,0.147
19-7-2021 00:00,27-7-2021 10:00,0.583
19-7-2021 00:00,27-7-2021 13:00,0.582
19-7-2021 00:00,27-7-2021 16:00,1.82
19-7-2021 00:00,27-7-2021 19:00,1.82
19-7-2021 00:00,27-7-2021 22:00,0.101
19-7-2021 00:00,28-7-2021 01:00,0.1
19-7-2021 00:00,28-7-2021 04:00,0.006
19-7-2021 00:00,28-7-2021 07:00,0.006
19-7-2021 00:00,28-7-2021 10:00,0.556
19-7-2021 00:00,28-7-2021 13:00,0.557
19-7-2021 00:00,28-7-2021 16:00,0.48
19-7-2021 00:00,28-7-2021 19:00,0.48
19-7-2021 00:00,28-7-2021 22:00,0.008
