GMT,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004,meuse004
,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp,tp
date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
14-7-2021 00:00,1.21,0.97,0.94,1.48,1.36,0.68,2.74,2.1,3.04,2.49,2,1.34,1.17,2.77,3.03,2.79,0.09,1.35,0.17,1.18,3.57,0.76,2.69,0.48,1.12,1.58,1.19,2.58,2.12,2.77,0.82,1.66,3.78,0.45,1.75,0.17,1.7,2.19,1.44,2.51,2.39,1.36,1.48,1.85,1.98,1.48,1.01,0.88,1.3,2.43
14-7-2021 01:00,0.27,0.46,1.68,0.25,0.51,0.08,2.01,1.04,1.44,1.99,0.44,0.57,0.19,0.53,1.66,1.18,0.78,0.67,0.32,0.46,0.78,0.14,1.29,0.45,0.73,0.45,0.53,0.3,0.47,1.97,0.51,0.67,1.2,0.29,0.9,0.2,0.73,0.61,0.73,0.32,0.14,0.44,0.35,0.29,1.1,0.37,2.58,0.13,0.04,2.21
14-7-2021 02:00,0.27,0.46,1.68,0.25,0.51,0.08,2.01,1.04,1.43,1.98,0.43,0.57,0.18,0.53,1.66,1.18,0.78,0.67,0.32,0.46,0.78,0.14,1.29,0.45,0.73,0.45,0.53,0.29,0.47,1.97,0.51,0.67,1.2,0.28,0.91,0.2,0.73,0.61,0.73,0.32,0.14,0.44,0.35,0.29,1.1,0.37,2.58,0.13,0.04,2.21
14-7-2021 03:00,0.27,0.47,1.68,0.25,0.51,0.08,2.01,1.04,1.44,1.99,0.44,0.58,0.19,0.53,1.66,1.19,0.79,0.68,0.32,0.46,0.78,0.14,1.29,0.45,0.73,0.45,0.53,0.3,0.48,1.97,0.51,0.67,1.21,0.29,0.91,0.21,0.73,0.61,0.74,0.32,0.14,0.44,0.35,0.29,1.1,0.37,2.58,0.13,0.04,2.21
14-7-2021 04:00,0.27,0.46,1.68,0.25,0.51,0.08,2.01,1.04,1.43,1.98,0.43,0.57,0.18,0.53,1.66,1.18,0.78,0.67,0.31,0.46,0.78,0.13,1.29,0.44,0.73,0.44,0.53,0.29,0.47,1.97,0.51,0.67,1.2,0.28,0.9,0.2,0.73,0.61,0.73,0.32,0.13,0.44,0.34,0.29,1.1,0.37,2.58,0.12,0.04,2.21
14-7-2021 05:00,0.27,0.46,1.68,0.25,0.51,0.08,2.01,1.04,1.44,1.99,0.44,0.57,0.18,0.53,1.66,1.18,0.78,0.68,0.32,0.46,0.78,0.14,1.29,0.45,0.73,0.45,0.53,0.3,0.47,1.97,0.51,0.67,1.2,0.29,0.91,0.2,0.73,0.61,0.73,0.32,0.14,0.44,0.35,0.29,1.1,0.37,2.58,0.13,0.04,2.21
14-7-2021 06:00,0.27,0.46,1.68,0.25,0.51,0.08,2.01,1.04,1.43,1.98,0.43,0.57,0.19,0.53,1.66,1.18,0.78,0.67,0.31,0.46,0.78,0.14,1.29,0.45,0.73,0.44,0.53,0.29,0.47,1.97,0.51,0.67,1.2,0.29,0.9,0.2,0.73,0.61,0.73,0.32,0.14,0.44,0.35,0.29,1.1,0.37,2.58,0.13,0.04,2.21
14-7-2021 07:00,0.37,1.57,0.43,0.74,1.1,0.32,0.94,0.29,1.03,3.74,2.69,1.04,0.36,0.49,1.67,0.87,2.74,0.93,2.28,1.45,0.72,0.62,1.4,1.49,0.35,0.55,0.27,0.47,0.98,0.47,3.57,1.49,1.68,0.71,0.74,0.99,3.09,0.17,0.55,1.79,1.08,1.23,0.17,0.35,1.43,0.56,2.66,0.39,0.36,4.83
