GMT;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004
;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
12-7-2021 06:00;0;0.02;0;0;0.04;0;0.01;0;0;0.01;0;0;0;0.06;0;0;0;0.01;0;0;0;0;0;0;0;0.01;0;0.04;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12-7-2021 07:00;0.09;0.23;0.11;0.09;0.07;0.13;0;0.13;0.13;0.13;0.11;0.1;0.01;0.17;0.21;0.19;0.21;0.18;0.09;0.24;0.31;0.05;0.12;0.07;0.39;0.01;0.27;0.03;0.08;0.08;0.04;0.21;0.35;0.18;0.1;0.18;0.21;0.2;0.29;0.06;0.15;0.07;0.13;0.04;0.01;0.3;0.01;0.05;0.15;0.25
12-7-2021 08:00;0.08;0.23;0.1;0.08;0.07;0.13;0;0.13;0.13;0.13;0.1;0.09;0.01;0.17;0.2;0.19;0.21;0.18;0.09;0.24;0.31;0.05;0.12;0.07;0.39;0.01;0.27;0.03;0.07;0.08;0.04;0.21;0.35;0.17;0.09;0.17;0.21;0.2;0.28;0.07;0.15;0.07;0.13;0.04;0.01;0.3;0.01;0.05;0.14;0.25
12-7-2021 09:00;0.09;0.23;0.11;0.09;0.07;0.13;0;0.13;0.13;0.13;0.11;0.1;0.01;0.17;0.21;0.19;0.21;0.18;0.09;0.24;0.31;0.05;0.12;0.07;0.39;0.02;0.27;0.03;0.08;0.09;0.04;0.21;0.35;0.18;0.1;0.18;0.22;0.21;0.29;0.07;0.16;0.08;0.13;0.04;0.01;0.31;0.01;0.05;0.15;0.25
12-7-2021 10:00;0.08;0.23;0.1;0.08;0.07;0.13;0;0.13;0.13;0.13;0.1;0.09;0.01;0.17;0.2;0.18;0.21;0.18;0.09;0.24;0.31;0.05;0.12;0.07;0.39;0.01;0.27;0.03;0.07;0.08;0.04;0.21;0.34;0.17;0.09;0.17;0.21;0.2;0.28;0.06;0.15;0.07;0.13;0.03;0;0.3;0;0.05;0.14;0.25
12-7-2021 11:00;0.09;0.23;0.11;0.08;0.07;0.13;0;0.13;0.13;0.13;0.11;0.1;0.01;0.17;0.2;0.19;0.21;0.18;0.09;0.24;0.31;0.05;0.12;0.07;0.39;0.01;0.27;0.03;0.07;0.08;0.04;0.21;0.35;0.17;0.1;0.18;0.21;0.2;0.29;0.07;0.15;0.07;0.13;0.04;0.01;0.3;0.01;0.05;0.15;0.25
12-7-2021 12:00;0.08;0.23;0.1;0.08;0.07;0.13;0;0.13;0.13;0.13;0.1;0.09;0.01;0.17;0.21;0.19;0.21;0.18;0.09;0.24;0.31;0.05;0.12;0.07;0.39;0.01;0.27;0.03;0.07;0.08;0.04;0.21;0.35;0.17;0.1;0.17;0.21;0.2;0.28;0.06;0.15;0.07;0.13;0.04;0.01;0.3;0.01;0.05;0.14;0.25
12-7-2021 13:00;0.61;0.19;0.54;0.34;0.71;0.38;0.24;0.04;0.29;0.64;0.49;0.58;0.13;0.19;0.53;0.45;0.09;2.08;0.17;0.3;0.19;1.08;0.74;0.24;0.6;0.02;0.49;0.19;0.21;0.35;0.13;0.79;1.35;0.49;0.39;0.24;0.46;0.09;0.78;0.31;0.28;0.32;0.26;0.44;0.06;0.47;0.54;0.58;0.16;0.42
