t0,date,P
18-7-2021 12:00,18-7-2021 04:00,0
18-7-2021 12:00,18-7-2021 07:00,0
18-7-2021 12:00,18-7-2021 10:00,0
18-7-2021 12:00,18-7-2021 13:00,0
18-7-2021 12:00,18-7-2021 16:00,0
18-7-2021 12:00,18-7-2021 19:00,0
18-7-2021 12:00,18-7-2021 22:00,0
18-7-2021 12:00,19-7-2021 01:00,0
18-7-2021 12:00,19-7-2021 04:00,0
18-7-2021 12:00,19-7-2021 07:00,0
18-7-2021 12:00,19-7-2021 10:00,0
18-7-2021 12:00,19-7-2021 13:00,0
18-7-2021 12:00,19-7-2021 16:00,0
18-7-2021 12:00,19-7-2021 19:00,0
18-7-2021 12:00,19-7-2021 22:00,0
18-7-2021 12:00,20-7-2021 01:00,0
18-7-2021 12:00,20-7-2021 04:00,0
18-7-2021 12:00,20-7-2021 07:00,0
18-7-2021 12:00,20-7-2021 10:00,0.002
18-7-2021 12:00,20-7-2021 13:00,0.033
18-7-2021 12:00,20-7-2021 16:00,0.009
18-7-2021 12:00,20-7-2021 19:00,0
18-7-2021 12:00,20-7-2021 22:00,0
18-7-2021 12:00,21-7-2021 01:00,0
18-7-2021 12:00,21-7-2021 04:00,0
18-7-2021 12:00,21-7-2021 07:00,0
18-7-2021 12:00,21-7-2021 10:00,0
18-7-2021 12:00,21-7-2021 13:00,0
18-7-2021 12:00,21-7-2021 16:00,0
18-7-2021 12:00,21-7-2021 19:00,0
18-7-2021 12:00,21-7-2021 22:00,0
18-7-2021 12:00,22-7-2021 01:00,0
18-7-2021 12:00,22-7-2021 04:00,0
18-7-2021 12:00,22-7-2021 07:00,0
18-7-2021 12:00,22-7-2021 10:00,0.002
18-7-2021 12:00,22-7-2021 13:00,0.036
18-7-2021 12:00,22-7-2021 16:00,0.103
18-7-2021 12:00,22-7-2021 19:00,0.05
18-7-2021 12:00,22-7-2021 22:00,0
18-7-2021 12:00,23-7-2021 01:00,0
18-7-2021 12:00,23-7-2021 04:00,0
18-7-2021 12:00,23-7-2021 07:00,0
18-7-2021 12:00,23-7-2021 10:00,0
18-7-2021 12:00,23-7-2021 13:00,0.017
18-7-2021 12:00,23-7-2021 16:00,0
18-7-2021 12:00,23-7-2021 19:00,0.001
18-7-2021 12:00,23-7-2021 22:00,0
18-7-2021 12:00,24-7-2021 01:00,0
18-7-2021 12:00,24-7-2021 04:00,0
18-7-2021 12:00,24-7-2021 07:00,0.003
18-7-2021 12:00,24-7-2021 10:00,0.087
18-7-2021 12:00,24-7-2021 13:00,1.714
18-7-2021 12:00,24-7-2021 16:00,1.75
18-7-2021 12:00,24-7-2021 19:00,1.751
18-7-2021 12:00,24-7-2021 22:00,2.931
18-7-2021 12:00,25-7-2021 01:00,2.931
18-7-2021 12:00,25-7-2021 04:00,0.211
18-7-2021 12:00,25-7-2021 07:00,0.211
18-7-2021 12:00,25-7-2021 10:00,0.239
18-7-2021 12:00,25-7-2021 13:00,0.239
18-7-2021 12:00,25-7-2021 16:00,1.54
18-7-2021 12:00,25-7-2021 19:00,1.54
18-7-2021 12:00,25-7-2021 22:00,0.103
18-7-2021 12:00,26-7-2021 01:00,0.102
18-7-2021 12:00,26-7-2021 04:00,0.234
18-7-2021 12:00,26-7-2021 07:00,0.234
18-7-2021 12:00,26-7-2021 10:00,0.524
18-7-2021 12:00,26-7-2021 13:00,0.525
18-7-2021 12:00,26-7-2021 16:00,0.824
18-7-2021 12:00,26-7-2021 19:00,0.825
18-7-2021 12:00,26-7-2021 22:00,0.022
18-7-2021 12:00,27-7-2021 01:00,0.023
18-7-2021 12:00,27-7-2021 04:00,0
18-7-2021 12:00,27-7-2021 07:00,0
18-7-2021 12:00,27-7-2021 10:00,0.239
18-7-2021 12:00,27-7-2021 13:00,0.239
18-7-2021 12:00,27-7-2021 16:00,0.043
18-7-2021 12:00,27-7-2021 19:00,0.043
18-7-2021 12:00,27-7-2021 22:00,0.098
