t0,date,P
21-7-2021 00:00,21-7-2021 04:00,0
21-7-2021 00:00,21-7-2021 07:00,0
21-7-2021 00:00,21-7-2021 10:00,0
21-7-2021 00:00,21-7-2021 13:00,0
21-7-2021 00:00,21-7-2021 16:00,0
21-7-2021 00:00,21-7-2021 19:00,0
21-7-2021 00:00,21-7-2021 22:00,0
21-7-2021 00:00,22-7-2021 01:00,0
21-7-2021 00:00,22-7-2021 04:00,0
21-7-2021 00:00,22-7-2021 07:00,0
21-7-2021 00:00,22-7-2021 10:00,0
21-7-2021 00:00,22-7-2021 13:00,0
21-7-2021 00:00,22-7-2021 16:00,0
21-7-2021 00:00,22-7-2021 19:00,0.001
21-7-2021 00:00,22-7-2021 22:00,0
21-7-2021 00:00,23-7-2021 01:00,0
21-7-2021 00:00,23-7-2021 04:00,0
21-7-2021 00:00,23-7-2021 07:00,0
21-7-2021 00:00,23-7-2021 10:00,0
21-7-2021 00:00,23-7-2021 13:00,0
21-7-2021 00:00,23-7-2021 16:00,0
21-7-2021 00:00,23-7-2021 19:00,0
21-7-2021 00:00,23-7-2021 22:00,0
21-7-2021 00:00,24-7-2021 01:00,0
21-7-2021 00:00,24-7-2021 04:00,0
21-7-2021 00:00,24-7-2021 07:00,0
21-7-2021 00:00,24-7-2021 10:00,2.714
21-7-2021 00:00,24-7-2021 13:00,4.032
21-7-2021 00:00,24-7-2021 16:00,1.702
21-7-2021 00:00,24-7-2021 19:00,4.07
21-7-2021 00:00,24-7-2021 22:00,0.7
21-7-2021 00:00,25-7-2021 01:00,0
21-7-2021 00:00,25-7-2021 04:00,0
21-7-2021 00:00,25-7-2021 07:00,0.225
21-7-2021 00:00,25-7-2021 10:00,0.074
21-7-2021 00:00,25-7-2021 13:00,0.231
21-7-2021 00:00,25-7-2021 16:00,1.878
21-7-2021 00:00,25-7-2021 19:00,1.229
21-7-2021 00:00,25-7-2021 22:00,0.068
21-7-2021 00:00,26-7-2021 01:00,0.045
21-7-2021 00:00,26-7-2021 04:00,0
21-7-2021 00:00,26-7-2021 07:00,0
21-7-2021 00:00,26-7-2021 10:00,0.093
21-7-2021 00:00,26-7-2021 13:00,0.441
21-7-2021 00:00,26-7-2021 16:00,0.353
21-7-2021 00:00,26-7-2021 19:00,0.26
21-7-2021 00:00,26-7-2021 22:00,0.015
21-7-2021 00:00,27-7-2021 01:00,0.007
21-7-2021 00:00,27-7-2021 04:00,0.02
21-7-2021 00:00,27-7-2021 07:00,0.02
21-7-2021 00:00,27-7-2021 10:00,0.323
21-7-2021 00:00,27-7-2021 13:00,0.323
21-7-2021 00:00,27-7-2021 16:00,2.819
21-7-2021 00:00,27-7-2021 19:00,2.819
21-7-2021 00:00,27-7-2021 22:00,0.141
21-7-2021 00:00,28-7-2021 01:00,0.141
21-7-2021 00:00,28-7-2021 04:00,0
21-7-2021 00:00,28-7-2021 07:00,0.001
21-7-2021 00:00,28-7-2021 10:00,0.238
21-7-2021 00:00,28-7-2021 13:00,0.238
21-7-2021 00:00,28-7-2021 16:00,0.1
21-7-2021 00:00,28-7-2021 19:00,0.1
21-7-2021 00:00,28-7-2021 22:00,0
21-7-2021 00:00,29-7-2021 01:00,0
21-7-2021 00:00,29-7-2021 04:00,0
21-7-2021 00:00,29-7-2021 07:00,0
21-7-2021 00:00,29-7-2021 10:00,0
21-7-2021 00:00,29-7-2021 13:00,0
21-7-2021 00:00,29-7-2021 16:00,0
21-7-2021 00:00,29-7-2021 19:00,0
21-7-2021 00:00,29-7-2021 22:00,0.222
21-7-2021 00:00,30-7-2021 01:00,0.223
21-7-2021 00:00,30-7-2021 04:00,0.908
21-7-2021 00:00,30-7-2021 07:00,0.908
21-7-2021 00:00,30-7-2021 10:00,2.406
21-7-2021 00:00,30-7-2021 13:00,2.406
21-7-2021 00:00,30-7-2021 16:00,1.056
21-7-2021 00:00,30-7-2021 19:00,1.057
21-7-2021 00:00,30-7-2021 22:00,0.022
