t0,date,P
14-7-2021 00:00,14-7-2021 04:00,9.662
14-7-2021 00:00,14-7-2021 07:00,2.96
14-7-2021 00:00,14-7-2021 10:00,7.324
14-7-2021 00:00,14-7-2021 13:00,9.534
14-7-2021 00:00,14-7-2021 16:00,7.75
14-7-2021 00:00,14-7-2021 19:00,7.003
14-7-2021 00:00,14-7-2021 22:00,8.823
14-7-2021 00:00,15-7-2021 01:00,11.531
14-7-2021 00:00,15-7-2021 04:00,5.597
14-7-2021 00:00,15-7-2021 07:00,1.854
14-7-2021 00:00,15-7-2021 10:00,2.751
14-7-2021 00:00,15-7-2021 13:00,2.67
14-7-2021 00:00,15-7-2021 16:00,1.259
14-7-2021 00:00,15-7-2021 19:00,2.096
14-7-2021 00:00,15-7-2021 22:00,0.817
14-7-2021 00:00,16-7-2021 01:00,0.247
14-7-2021 00:00,16-7-2021 04:00,0.657
14-7-2021 00:00,16-7-2021 07:00,0.312
14-7-2021 00:00,16-7-2021 10:00,0.081
14-7-2021 00:00,16-7-2021 13:00,0.456
14-7-2021 00:00,16-7-2021 16:00,0.268
14-7-2021 00:00,16-7-2021 19:00,0.002
14-7-2021 00:00,16-7-2021 22:00,0.007
14-7-2021 00:00,17-7-2021 01:00,0.02
14-7-2021 00:00,17-7-2021 04:00,0.025
14-7-2021 00:00,17-7-2021 07:00,0.022
14-7-2021 00:00,17-7-2021 10:00,0.014
14-7-2021 00:00,17-7-2021 13:00,0.003
14-7-2021 00:00,17-7-2021 16:00,0.021
14-7-2021 00:00,17-7-2021 19:00,0
14-7-2021 00:00,17-7-2021 22:00,0
14-7-2021 00:00,18-7-2021 01:00,0
14-7-2021 00:00,18-7-2021 04:00,0.004
14-7-2021 00:00,18-7-2021 07:00,0
14-7-2021 00:00,18-7-2021 10:00,0
14-7-2021 00:00,18-7-2021 13:00,0
14-7-2021 00:00,18-7-2021 16:00,0
14-7-2021 00:00,18-7-2021 19:00,0
14-7-2021 00:00,18-7-2021 22:00,0
14-7-2021 00:00,19-7-2021 01:00,0
14-7-2021 00:00,19-7-2021 04:00,0
14-7-2021 00:00,19-7-2021 07:00,0
14-7-2021 00:00,19-7-2021 10:00,0
14-7-2021 00:00,19-7-2021 13:00,0.001
14-7-2021 00:00,19-7-2021 16:00,0.001
14-7-2021 00:00,19-7-2021 19:00,0
14-7-2021 00:00,19-7-2021 22:00,0
14-7-2021 00:00,20-7-2021 01:00,0
14-7-2021 00:00,20-7-2021 04:00,0.028
14-7-2021 00:00,20-7-2021 07:00,0.028
14-7-2021 00:00,20-7-2021 10:00,0.011
14-7-2021 00:00,20-7-2021 13:00,0.011
14-7-2021 00:00,20-7-2021 16:00,0
14-7-2021 00:00,20-7-2021 19:00,0.001
14-7-2021 00:00,20-7-2021 22:00,0
14-7-2021 00:00,21-7-2021 01:00,0
14-7-2021 00:00,21-7-2021 04:00,0
14-7-2021 00:00,21-7-2021 07:00,0
14-7-2021 00:00,21-7-2021 10:00,0
14-7-2021 00:00,21-7-2021 13:00,0
14-7-2021 00:00,21-7-2021 16:00,0
14-7-2021 00:00,21-7-2021 19:00,0
14-7-2021 00:00,21-7-2021 22:00,0
14-7-2021 00:00,22-7-2021 01:00,0
14-7-2021 00:00,22-7-2021 04:00,0
14-7-2021 00:00,22-7-2021 07:00,0
14-7-2021 00:00,22-7-2021 10:00,0
14-7-2021 00:00,22-7-2021 13:00,0
14-7-2021 00:00,22-7-2021 16:00,0.016
14-7-2021 00:00,22-7-2021 19:00,0.016
14-7-2021 00:00,22-7-2021 22:00,1.395
14-7-2021 00:00,23-7-2021 01:00,1.395
14-7-2021 00:00,23-7-2021 04:00,0.495
14-7-2021 00:00,23-7-2021 07:00,0.495
14-7-2021 00:00,23-7-2021 10:00,0.364
14-7-2021 00:00,23-7-2021 13:00,0.365
14-7-2021 00:00,23-7-2021 16:00,0.05
14-7-2021 00:00,23-7-2021 19:00,0.051
14-7-2021 00:00,23-7-2021 22:00,0.012
