t0,date,P
13-7-2021 00:00,13-7-2021 04:00,0.261
13-7-2021 00:00,13-7-2021 07:00,1.661
13-7-2021 00:00,13-7-2021 10:00,4.448
13-7-2021 00:00,13-7-2021 13:00,3.938
13-7-2021 00:00,13-7-2021 16:00,1.978
13-7-2021 00:00,13-7-2021 19:00,5.359
13-7-2021 00:00,13-7-2021 22:00,4.15
13-7-2021 00:00,14-7-2021 01:00,6.74
13-7-2021 00:00,14-7-2021 04:00,1.294
13-7-2021 00:00,14-7-2021 07:00,0.802
13-7-2021 00:00,14-7-2021 10:00,1.187
13-7-2021 00:00,14-7-2021 13:00,7.64
13-7-2021 00:00,14-7-2021 16:00,16.909
13-7-2021 00:00,14-7-2021 19:00,6.249
13-7-2021 00:00,14-7-2021 22:00,4.032
13-7-2021 00:00,15-7-2021 01:00,3.581
13-7-2021 00:00,15-7-2021 04:00,2.773
13-7-2021 00:00,15-7-2021 07:00,1.427
13-7-2021 00:00,15-7-2021 10:00,1.765
13-7-2021 00:00,15-7-2021 13:00,3.795
13-7-2021 00:00,15-7-2021 16:00,6.261
13-7-2021 00:00,15-7-2021 19:00,2.898
13-7-2021 00:00,15-7-2021 22:00,0.715
13-7-2021 00:00,16-7-2021 01:00,0.478
13-7-2021 00:00,16-7-2021 04:00,0.749
13-7-2021 00:00,16-7-2021 07:00,0.314
13-7-2021 00:00,16-7-2021 10:00,0.188
13-7-2021 00:00,16-7-2021 13:00,0.306
13-7-2021 00:00,16-7-2021 16:00,0.138
13-7-2021 00:00,16-7-2021 19:00,0.021
13-7-2021 00:00,16-7-2021 22:00,0
13-7-2021 00:00,17-7-2021 01:00,0
13-7-2021 00:00,17-7-2021 04:00,0
13-7-2021 00:00,17-7-2021 07:00,0
13-7-2021 00:00,17-7-2021 10:00,0.014
13-7-2021 00:00,17-7-2021 13:00,0.09
13-7-2021 00:00,17-7-2021 16:00,0.214
13-7-2021 00:00,17-7-2021 19:00,0.167
13-7-2021 00:00,17-7-2021 22:00,0.039
13-7-2021 00:00,18-7-2021 01:00,0.029
13-7-2021 00:00,18-7-2021 04:00,0
13-7-2021 00:00,18-7-2021 07:00,0.003
13-7-2021 00:00,18-7-2021 10:00,0.004
13-7-2021 00:00,18-7-2021 13:00,0.042
13-7-2021 00:00,18-7-2021 16:00,0.051
13-7-2021 00:00,18-7-2021 19:00,0.002
13-7-2021 00:00,18-7-2021 22:00,0
13-7-2021 00:00,19-7-2021 01:00,0
13-7-2021 00:00,19-7-2021 04:00,0.002
13-7-2021 00:00,19-7-2021 07:00,0.003
13-7-2021 00:00,19-7-2021 10:00,0.005
13-7-2021 00:00,19-7-2021 13:00,0.005
13-7-2021 00:00,19-7-2021 16:00,0
13-7-2021 00:00,19-7-2021 19:00,0
13-7-2021 00:00,19-7-2021 22:00,0
13-7-2021 00:00,20-7-2021 01:00,0
13-7-2021 00:00,20-7-2021 04:00,0
13-7-2021 00:00,20-7-2021 07:00,0
13-7-2021 00:00,20-7-2021 10:00,0
13-7-2021 00:00,20-7-2021 13:00,0
13-7-2021 00:00,20-7-2021 16:00,0
13-7-2021 00:00,20-7-2021 19:00,0
13-7-2021 00:00,20-7-2021 22:00,0
13-7-2021 00:00,21-7-2021 01:00,0
13-7-2021 00:00,21-7-2021 04:00,0
13-7-2021 00:00,21-7-2021 07:00,0
13-7-2021 00:00,21-7-2021 10:00,0
13-7-2021 00:00,21-7-2021 13:00,0
13-7-2021 00:00,21-7-2021 16:00,0.007
13-7-2021 00:00,21-7-2021 19:00,0.007
13-7-2021 00:00,21-7-2021 22:00,0.421
13-7-2021 00:00,22-7-2021 01:00,0.421
13-7-2021 00:00,22-7-2021 04:00,0.527
13-7-2021 00:00,22-7-2021 07:00,0.527
13-7-2021 00:00,22-7-2021 10:00,0.148
13-7-2021 00:00,22-7-2021 13:00,0.147
13-7-2021 00:00,22-7-2021 16:00,0.231
13-7-2021 00:00,22-7-2021 19:00,0.23
13-7-2021 00:00,22-7-2021 22:00,0.016
