t0,date,P
12-7-2021 00:00,12-7-2021 04:00,0
12-7-2021 00:00,12-7-2021 07:00,0
12-7-2021 00:00,12-7-2021 10:00,0
12-7-2021 00:00,12-7-2021 13:00,0.829
12-7-2021 00:00,12-7-2021 16:00,3.317
12-7-2021 00:00,12-7-2021 19:00,1.256
12-7-2021 00:00,12-7-2021 22:00,0
12-7-2021 00:00,13-7-2021 01:00,0.007
12-7-2021 00:00,13-7-2021 04:00,0.289
12-7-2021 00:00,13-7-2021 07:00,2.813
12-7-2021 00:00,13-7-2021 10:00,3.732
12-7-2021 00:00,13-7-2021 13:00,9.019
12-7-2021 00:00,13-7-2021 16:00,12.392
12-7-2021 00:00,13-7-2021 19:00,6.42
12-7-2021 00:00,13-7-2021 22:00,8.775
12-7-2021 00:00,14-7-2021 01:00,3.968
12-7-2021 00:00,14-7-2021 04:00,2.298
12-7-2021 00:00,14-7-2021 07:00,1.559
12-7-2021 00:00,14-7-2021 10:00,3.712
12-7-2021 00:00,14-7-2021 13:00,6.252
12-7-2021 00:00,14-7-2021 16:00,8.1
12-7-2021 00:00,14-7-2021 19:00,4.949
12-7-2021 00:00,14-7-2021 22:00,1.904
12-7-2021 00:00,15-7-2021 01:00,2.374
12-7-2021 00:00,15-7-2021 04:00,5.499
12-7-2021 00:00,15-7-2021 07:00,4.427
12-7-2021 00:00,15-7-2021 10:00,2.532
12-7-2021 00:00,15-7-2021 13:00,3.609
12-7-2021 00:00,15-7-2021 16:00,2.62
12-7-2021 00:00,15-7-2021 19:00,1.044
12-7-2021 00:00,15-7-2021 22:00,0.302
12-7-2021 00:00,16-7-2021 01:00,0.436
12-7-2021 00:00,16-7-2021 04:00,0.524
12-7-2021 00:00,16-7-2021 07:00,0.183
12-7-2021 00:00,16-7-2021 10:00,0.144
12-7-2021 00:00,16-7-2021 13:00,0.048
12-7-2021 00:00,16-7-2021 16:00,0.005
12-7-2021 00:00,16-7-2021 19:00,0
12-7-2021 00:00,16-7-2021 22:00,0
12-7-2021 00:00,17-7-2021 01:00,0.003
12-7-2021 00:00,17-7-2021 04:00,0.005
12-7-2021 00:00,17-7-2021 07:00,0.003
12-7-2021 00:00,17-7-2021 10:00,0.014
12-7-2021 00:00,17-7-2021 13:00,1.352
12-7-2021 00:00,17-7-2021 16:00,0.386
12-7-2021 00:00,17-7-2021 19:00,0.418
12-7-2021 00:00,17-7-2021 22:00,0.027
12-7-2021 00:00,18-7-2021 01:00,0
12-7-2021 00:00,18-7-2021 04:00,0.001
12-7-2021 00:00,18-7-2021 07:00,0.001
12-7-2021 00:00,18-7-2021 10:00,0.049
12-7-2021 00:00,18-7-2021 13:00,0.049
12-7-2021 00:00,18-7-2021 16:00,0.025
12-7-2021 00:00,18-7-2021 19:00,0.025
12-7-2021 00:00,18-7-2021 22:00,0
12-7-2021 00:00,19-7-2021 01:00,0
12-7-2021 00:00,19-7-2021 04:00,0
12-7-2021 00:00,19-7-2021 07:00,0
12-7-2021 00:00,19-7-2021 10:00,0
12-7-2021 00:00,19-7-2021 13:00,0
12-7-2021 00:00,19-7-2021 16:00,0
12-7-2021 00:00,19-7-2021 19:00,0
12-7-2021 00:00,19-7-2021 22:00,0
12-7-2021 00:00,20-7-2021 01:00,0
12-7-2021 00:00,20-7-2021 04:00,0
12-7-2021 00:00,20-7-2021 07:00,0
12-7-2021 00:00,20-7-2021 10:00,0
12-7-2021 00:00,20-7-2021 13:00,0
12-7-2021 00:00,20-7-2021 16:00,0
12-7-2021 00:00,20-7-2021 19:00,0
12-7-2021 00:00,20-7-2021 22:00,0
12-7-2021 00:00,21-7-2021 01:00,0
12-7-2021 00:00,21-7-2021 04:00,0
12-7-2021 00:00,21-7-2021 07:00,0
12-7-2021 00:00,21-7-2021 10:00,0
12-7-2021 00:00,21-7-2021 13:00,0
12-7-2021 00:00,21-7-2021 16:00,0
12-7-2021 00:00,21-7-2021 19:00,0
12-7-2021 00:00,21-7-2021 22:00,0
