t0,date,P
17-7-2021 00:00,21-7-2021 04:00,0
17-7-2021 00:00,21-7-2021 07:00,0
17-7-2021 00:00,21-7-2021 10:00,0
17-7-2021 00:00,21-7-2021 13:00,0
17-7-2021 00:00,21-7-2021 16:00,0
17-7-2021 00:00,21-7-2021 19:00,0
17-7-2021 00:00,21-7-2021 22:00,0
17-7-2021 00:00,22-7-2021 01:00,0
17-7-2021 00:00,22-7-2021 04:00,0
17-7-2021 00:00,22-7-2021 07:00,0.001
17-7-2021 00:00,22-7-2021 10:00,0.025
17-7-2021 00:00,22-7-2021 13:00,0.16
17-7-2021 00:00,22-7-2021 16:00,0.074
17-7-2021 00:00,22-7-2021 19:00,0.001
17-7-2021 00:00,22-7-2021 22:00,0
17-7-2021 00:00,23-7-2021 01:00,0
17-7-2021 00:00,23-7-2021 04:00,0
17-7-2021 00:00,23-7-2021 07:00,0
17-7-2021 00:00,23-7-2021 10:00,0
17-7-2021 00:00,23-7-2021 13:00,0
17-7-2021 00:00,23-7-2021 16:00,0.001
17-7-2021 00:00,23-7-2021 19:00,0.001
17-7-2021 00:00,23-7-2021 22:00,0.004
17-7-2021 00:00,24-7-2021 01:00,0.005
17-7-2021 00:00,24-7-2021 04:00,1.886
17-7-2021 00:00,24-7-2021 07:00,1.886
17-7-2021 00:00,24-7-2021 10:00,0.25
17-7-2021 00:00,24-7-2021 13:00,0.25
17-7-2021 00:00,24-7-2021 16:00,2.266
17-7-2021 00:00,24-7-2021 19:00,2.265
17-7-2021 00:00,24-7-2021 22:00,6.621
17-7-2021 00:00,25-7-2021 01:00,6.621
17-7-2021 00:00,25-7-2021 04:00,0.035
17-7-2021 00:00,25-7-2021 07:00,0.035
17-7-2021 00:00,25-7-2021 10:00,0.145
17-7-2021 00:00,25-7-2021 13:00,0.146
17-7-2021 00:00,25-7-2021 16:00,0.505
17-7-2021 00:00,25-7-2021 19:00,0.505
17-7-2021 00:00,25-7-2021 22:00,0.584
17-7-2021 00:00,26-7-2021 01:00,0.584
17-7-2021 00:00,26-7-2021 04:00,0.005
17-7-2021 00:00,26-7-2021 07:00,0.005
17-7-2021 00:00,26-7-2021 10:00,0.23
17-7-2021 00:00,26-7-2021 13:00,0.23
17-7-2021 00:00,26-7-2021 16:00,0.061
17-7-2021 00:00,26-7-2021 19:00,0.06
17-7-2021 00:00,26-7-2021 22:00,0.001
