t0,date,P
10-7-2021 00:00,10-7-2021 04:00,0
10-7-2021 00:00,10-7-2021 07:00,0
10-7-2021 00:00,10-7-2021 10:00,0.159
10-7-2021 00:00,10-7-2021 13:00,0.477
10-7-2021 00:00,10-7-2021 16:00,1.224
10-7-2021 00:00,10-7-2021 19:00,5.079
10-7-2021 00:00,10-7-2021 22:00,3.161
10-7-2021 00:00,11-7-2021 01:00,0.719
10-7-2021 00:00,11-7-2021 04:00,0.061
10-7-2021 00:00,11-7-2021 07:00,0.007
10-7-2021 00:00,11-7-2021 10:00,0.098
10-7-2021 00:00,11-7-2021 13:00,0.116
10-7-2021 00:00,11-7-2021 16:00,0.013
10-7-2021 00:00,11-7-2021 19:00,0.088
10-7-2021 00:00,11-7-2021 22:00,0.067
10-7-2021 00:00,12-7-2021 01:00,0.001
10-7-2021 00:00,12-7-2021 04:00,0
10-7-2021 00:00,12-7-2021 07:00,0
10-7-2021 00:00,12-7-2021 10:00,0
10-7-2021 00:00,12-7-2021 13:00,0.865
10-7-2021 00:00,12-7-2021 16:00,0.287
10-7-2021 00:00,12-7-2021 19:00,0.22
10-7-2021 00:00,12-7-2021 22:00,0.025
10-7-2021 00:00,13-7-2021 01:00,0.016
10-7-2021 00:00,13-7-2021 04:00,0.586
10-7-2021 00:00,13-7-2021 07:00,0.604
10-7-2021 00:00,13-7-2021 10:00,0.367
10-7-2021 00:00,13-7-2021 13:00,0.392
10-7-2021 00:00,13-7-2021 16:00,0.719
10-7-2021 00:00,13-7-2021 19:00,0.182
10-7-2021 00:00,13-7-2021 22:00,0.014
10-7-2021 00:00,14-7-2021 01:00,0.004
10-7-2021 00:00,14-7-2021 04:00,0.016
10-7-2021 00:00,14-7-2021 07:00,0.153
10-7-2021 00:00,14-7-2021 10:00,2.569
10-7-2021 00:00,14-7-2021 13:00,6.76
10-7-2021 00:00,14-7-2021 16:00,14.518
10-7-2021 00:00,14-7-2021 19:00,7.521
10-7-2021 00:00,14-7-2021 22:00,13.071
10-7-2021 00:00,15-7-2021 01:00,4.855
10-7-2021 00:00,15-7-2021 04:00,2.058
10-7-2021 00:00,15-7-2021 07:00,2.543
10-7-2021 00:00,15-7-2021 10:00,3.777
10-7-2021 00:00,15-7-2021 13:00,4.103
10-7-2021 00:00,15-7-2021 16:00,2.767
10-7-2021 00:00,15-7-2021 19:00,2.02
10-7-2021 00:00,15-7-2021 22:00,2.225
10-7-2021 00:00,16-7-2021 01:00,0.047
10-7-2021 00:00,16-7-2021 04:00,0.192
10-7-2021 00:00,16-7-2021 07:00,0.191
10-7-2021 00:00,16-7-2021 10:00,0.41
10-7-2021 00:00,16-7-2021 13:00,0.41
10-7-2021 00:00,16-7-2021 16:00,0.002
10-7-2021 00:00,16-7-2021 19:00,0.002
10-7-2021 00:00,16-7-2021 22:00,0.009
10-7-2021 00:00,17-7-2021 01:00,0.009
10-7-2021 00:00,17-7-2021 04:00,0.035
10-7-2021 00:00,17-7-2021 07:00,0.035
10-7-2021 00:00,17-7-2021 10:00,0.209
10-7-2021 00:00,17-7-2021 13:00,0.209
10-7-2021 00:00,17-7-2021 16:00,0.156
10-7-2021 00:00,17-7-2021 19:00,0.156
10-7-2021 00:00,17-7-2021 22:00,0.118
10-7-2021 00:00,18-7-2021 01:00,0.119
10-7-2021 00:00,18-7-2021 04:00,0.127
10-7-2021 00:00,18-7-2021 07:00,0.127
10-7-2021 00:00,18-7-2021 10:00,0.045
10-7-2021 00:00,18-7-2021 13:00,0.044
10-7-2021 00:00,18-7-2021 16:00,0
10-7-2021 00:00,18-7-2021 19:00,0
10-7-2021 00:00,18-7-2021 22:00,0.001
10-7-2021 00:00,19-7-2021 01:00,0.001
10-7-2021 00:00,19-7-2021 04:00,0.002
10-7-2021 00:00,19-7-2021 07:00,0.002
10-7-2021 00:00,19-7-2021 10:00,0
10-7-2021 00:00,19-7-2021 13:00,0
10-7-2021 00:00,19-7-2021 16:00,0.003
10-7-2021 00:00,19-7-2021 19:00,0.003
10-7-2021 00:00,19-7-2021 22:00,0
